,time,user_id,creative_id,click_times,ad_id,product_id,product_category,advertiser_id,industry,age,gender
77,36,320815,1638869,1,1420823,27031,3,32735,318,3,1
78,20,320815,1059117,1,929860,30673,3,32638,319,3,1
79,1,320815,236046,2,212257,9139,3,24891,253,3,1
80,8,320815,447952,2,398311,8703,3,34880,319,3,1
81,16,320815,795206,2,702053,8956,3,40174,247,3,1
82,20,320815,937433,1,825588,9037,3,36853,248,3,1
83,40,320815,1331469,1,1164017,8668,3,21052,247,3,1
84,13,320815,542671,1,482751,\N,18,20852,73,3,1
85,40,320815,1723659,1,1492682,958,3,46544,259,3,1
86,25,320815,704914,1,624227,8703,3,34880,319,3,1
87,20,320815,1016499,1,893433,30673,3,38159,319,3,1
88,84,320815,3036310,1,2611121,8668,3,16053,247,3,1
89,27,320815,1370430,1,1197515,8703,3,34880,319,3,1
90,72,320815,3355247,1,2887096,8667,3,7914,247,3,1
91,76,320815,3685351,1,3171427,9152,3,56934,248,3,1
92,87,320815,3216864,1,2767403,992,3,4751,321,3,1
93,15,320815,102979,1,93604,30673,3,32638,319,3,1
94,51,320815,280514,1,252528,\N,18,22918,319,3,1
95,1,320815,17244,1,18559,8911,3,6637,247,3,1
96,7,320815,393897,1,351747,9170,3,38063,253,3,1
97,11,320815,496476,1,441949,30673,3,32638,319,3,1
98,19,320815,1011975,1,889548,9065,3,9277,247,3,1
99,86,320815,4089066,1,3509372,958,3,46522,259,3,1
100,6,320815,207955,1,186898,26835,3,27561,54,3,1
101,13,320815,737327,1,652172,\N,18,2003,40,3,1
102,6,320815,472627,1,420485,8703,3,31233,319,3,1
103,45,320815,2031178,1,1755784,\N,18,44082,238,3,1
104,49,320815,2339090,2,2016988,29664,3,47147,238,3,1
105,11,355089,567330,1,504423,30673,3,32638,319,1,1
106,48,355089,1898454,1,1643486,1064,2,39252,242,1,1
107,85,355089,4089042,1,3509332,\N,18,39111,319,1,1
108,7,355089,538326,1,478309,9065,3,30144,247,1,1
109,15,355089,62055,1,57514,27063,3,17243,319,1,1
110,13,355089,509425,1,453201,8777,3,9075,247,1,1
111,6,355089,253936,1,228362,30673,3,38159,319,1,1
112,78,355089,3225622,1,2775324,1356,2,16433,261,1,1
113,32,355089,1322728,1,1156511,9126,3,43631,247,1,1
114,32,355089,1647084,1,1428067,8987,3,34468,247,1,1
115,29,355089,1427670,1,1244909,1469,2,35878,21,1,1
116,33,355089,1671062,2,1448135,30673,3,38159,319,1,1
117,31,355089,1661888,2,1440457,28627,3,46986,255,1,1
118,34,355089,1714889,1,1485147,27063,3,25732,319,1,1
119,7,355089,125900,1,113362,8967,3,27664,255,1,1
120,7,355089,65071,1,60252,8735,3,23491,254,1,1
121,7,355089,87529,2,80087,8704,3,27000,255,1,1
122,32,355089,1411395,1,1231448,24,3,1228,5,1,1
123,7,355089,515092,1,458195,1452,2,33459,322,1,1
124,33,355089,1603053,1,1390209,9044,3,35416,253,1,1
125,33,355089,1467764,2,1278382,8777,3,24651,247,1,1
126,74,355089,3583876,1,3085576,2400,2,41389,246,1,1
127,9,363442,567330,1,504423,30673,3,32638,319,2,1
128,60,363442,2085566,1,1801889,129,2,42272,6,2,1
129,57,363442,140437,1,126167,111,2,24082,242,2,1
130,33,363442,1491385,1,1297399,\N,18,10989,6,2,1
131,6,363442,333302,1,299395,27031,3,1835,317,2,1
132,8,363442,27749,1,27998,\N,12,21203,54,2,1
133,1,363442,84182,1,77119,8987,3,20790,247,2,1
134,63,363442,228215,1,204860,\N,18,14681,297,2,1
135,56,363442,1725507,1,1494144,\N,18,27843,47,2,1
136,60,363442,2143574,1,1851077,129,2,42272,6,2,1
137,23,363442,1154431,1,1011233,\N,18,21078,25,2,1
138,22,363442,9985,1,11441,\N,12,19701,300,2,1
139,57,363442,944753,1,832105,128,2,16473,317,2,1
140,37,363442,1730473,1,1498400,8703,3,34880,319,2,1
141,63,363442,2944654,1,2531868,\N,18,52734,247,2,1
142,1,363442,54239,1,50511,\N,18,18103,54,2,1
143,88,363442,4205852,1,3608122,9108,3,42219,319,2,1
144,6,363442,361391,1,326393,27031,3,32735,318,2,1
145,57,363442,2492767,1,2147035,111,2,19051,242,2,1
146,54,363442,2561498,2,2205561,9410,3,35987,247,2,1
147,62,363442,1541232,1,1339141,\N,18,16509,271,2,1
148,83,363442,3973177,1,3412682,9375,3,1250,247,2,1
149,55,363442,2498339,1,2151659,9007,3,53996,248,2,1
150,23,363442,1128710,1,989626,9176,3,20902,248,2,1
151,27,363442,1143666,1,1002424,9037,3,36841,258,2,1
152,32,363442,1157819,1,1014094,\N,18,27144,54,2,1
153,21,363442,939710,1,827615,27190,3,9076,161,2,1
154,90,363442,4229370,1,3628308,27063,3,28091,319,2,1
155,18,363442,704277,1,623664,8907,3,36800,247,2,1
156,40,363442,1834205,1,1588063,9374,3,5725,247,2,1
157,81,363442,3827634,1,3289493,27063,3,8366,319,2,1
158,90,363442,4294593,1,3683420,9266,3,24615,247,2,1
159,32,363442,1517482,1,1319325,8987,3,44853,247,2,1
160,24,363442,1085145,1,952485,9322,3,5725,248,2,1
161,23,363442,1127153,1,988267,9176,3,20902,248,2,1
162,90,363442,4407334,2,3779085,9506,3,62721,248,2,1
163,57,363442,2288164,1,1973926,1205,2,4351,238,2,1
164,14,370513,567330,1,504423,30673,3,32638,319,4,1
165,88,370513,4180378,1,3586216,\N,18,22918,319,4,1
166,18,370513,984156,1,865530,\N,18,38767,322,4,1
167,10,370513,607787,1,540080,\N,18,31840,322,4,1
168,65,370513,1876526,1,1624603,8777,3,10534,247,4,1
169,4,370513,158209,1,141864,\N,18,30367,21,4,1
170,74,370513,158209,1,141864,\N,18,30367,21,4,1
171,71,370513,3034590,1,2609721,\N,5,21185,289,4,1
172,18,370513,954589,2,840564,27031,3,1835,318,4,1
173,42,370513,45896,1,42976,27063,3,17243,319,4,1
174,65,370513,2922307,1,2512354,8811,3,18869,247,4,1
175,1,370513,266239,2,239240,\N,18,38764,322,4,1
176,67,370513,2624819,1,2259319,8907,3,36798,252,4,1
177,60,370513,2645781,1,2277233,8933,3,54639,322,4,1
178,60,370513,2502450,1,2155144,\N,18,31856,255,4,1
179,70,370513,2273727,1,1961843,738,3,16738,255,4,1
180,55,370513,2626544,1,2260768,27031,3,42171,317,4,1
181,19,370513,1028396,1,903635,\N,18,37647,322,4,1
182,15,370513,504697,1,449217,8987,3,6263,247,4,1
183,23,370513,1212312,1,1060886,\N,18,37661,322,4,1
184,61,370513,2481772,1,2137672,8791,3,48720,319,4,1
185,49,370513,2307546,1,1990505,8857,3,15862,247,4,1
186,60,370513,1083326,1,950834,8580,3,22244,240,4,1
187,19,370513,557419,1,495905,26940,3,17209,57,4,1
188,37,370513,647532,1,574862,\N,18,40803,36,4,1
189,45,370513,1639428,1,1418917,5143,3,46504,247,4,1
190,23,370513,1111672,1,975266,8988,3,41525,253,4,1
191,33,370513,1615112,1,1400681,6732,3,36930,248,4,1
192,74,370513,712591,1,630691,27031,3,1835,317,4,1
193,36,370513,954846,1,840772,27031,3,1835,317,4,1
194,23,370513,1059117,1,929860,30673,3,32638,319,4,1
195,22,370513,102979,1,93604,30673,3,32638,319,4,1
196,61,370513,2882493,1,2477968,7929,3,16538,248,4,1
197,36,370513,1718086,1,1487827,9243,3,10879,247,4,1
198,76,370513,3662287,1,3152217,27031,3,42171,318,4,1
199,59,370513,2660455,1,2289466,962,3,50861,247,4,1
200,74,370513,3586516,1,3087837,27031,3,42171,317,4,1
201,21,370513,1119621,1,981913,\N,18,31855,322,4,1
202,66,370513,3202394,1,2755276,\N,5,21185,289,4,1
203,59,370513,1653353,1,1433227,8518,3,41952,21,4,1
204,59,370513,2531046,1,2179767,8791,3,48722,319,4,1
205,33,370513,1002713,1,881464,\N,18,17560,54,4,1
206,80,370513,3724450,1,3204009,8652,3,55096,240,4,1
207,45,370513,1943354,1,1681811,9374,3,13245,247,4,1
208,4,370513,393919,1,351661,8907,3,30146,248,4,1
209,51,370513,435768,1,387740,8911,3,6637,247,4,1
210,41,370513,1933474,1,1673205,9379,3,24157,256,4,1
211,54,370513,2370570,1,2043876,8790,3,43972,242,4,1
212,45,370513,1993566,1,1724400,6732,3,29507,248,4,1
213,39,370513,1848773,1,1600683,8987,3,44853,247,4,1
214,41,370513,341464,1,306539,6732,3,29507,248,4,1
215,81,370513,3692861,1,3177768,9122,3,12224,248,4,1
216,7,370513,513049,1,456411,8736,3,10535,247,4,1
217,60,370513,2786940,1,2396104,27031,3,32735,317,4,1
218,13,370513,709731,1,628331,27031,3,32508,318,4,1
219,5,370513,406911,1,363204,39219,17,17413,\N,4,1
220,42,370513,2005740,1,1734590,7929,3,16538,248,4,1
221,61,370513,2833267,1,2435820,8933,3,54639,322,4,1
222,15,370513,185556,1,166398,9119,3,20291,247,4,1
223,9,372445,567330,1,504423,30673,3,32638,319,2,1
224,74,372445,882344,1,777688,\N,18,10989,297,2,1
225,58,372445,2572650,1,2215320,27031,3,42171,317,2,1
226,63,372445,1836995,1,1590593,\N,12,10989,203,2,1
227,22,372445,108142,1,98170,\N,12,10989,291,2,1
228,26,372445,1322019,1,1155930,\N,18,39805,322,2,1
229,19,372445,66901,1,61871,4916,3,26449,323,2,1
230,28,372445,924725,1,814444,26858,3,8891,60,2,1
231,79,372445,2159835,1,1864837,\N,12,8200,40,2,1
232,90,372445,4362368,2,3740698,\N,12,10989,289,2,1
233,88,372445,3600953,1,3100358,8870,3,55541,104,2,1
234,44,372445,1814945,1,1571603,9374,3,16969,247,2,1
235,70,372445,3095540,1,2662629,\N,18,55910,247,2,1
236,40,372445,1797787,1,1556702,\N,18,39179,322,2,1
237,61,372445,2943664,1,2531020,\N,18,8484,174,2,1
238,44,372445,1189200,1,1040853,27031,3,32735,317,2,1
239,45,372445,2045758,1,1768157,\N,18,29911,73,2,1
240,37,372445,1457604,1,1269968,\N,18,31555,322,2,1
241,49,372445,2335629,2,2014096,27031,3,42171,317,2,1
242,57,372445,2683990,1,2309584,27031,3,32735,317,2,1
243,86,372445,4059574,1,3484544,9429,3,28080,252,2,1
244,73,372445,3195978,1,2749619,8966,3,20726,247,2,1
245,69,372445,2957423,1,2542874,\N,18,1679,23,2,1
246,28,372445,1059228,1,929956,30673,3,32638,319,2,1
247,14,372445,643996,1,571761,26858,3,8891,60,2,1
248,70,372445,3270223,1,2813292,643,3,10988,6,2,1
249,53,372445,2498339,1,2151659,9007,3,53996,248,2,1
250,73,372445,2829627,1,2432662,643,3,10985,6,2,1
251,23,372445,1224235,1,1071254,8803,3,28013,247,2,1
252,68,372445,3189590,1,2744054,29045,3,26839,6,2,1
253,30,372445,1452767,1,1265935,9242,3,27325,247,2,1
254,77,372445,3726372,1,3205605,27063,3,28091,319,2,1
255,59,372445,55010,1,51198,6514,3,5202,247,2,1
256,54,372445,2558547,1,2203152,9305,3,50868,248,2,1
257,48,372445,2299642,1,1983808,2108,3,51198,247,2,1
258,39,372445,1823903,1,1579216,8904,3,31128,247,2,1
259,58,372445,2692068,1,2316236,9265,3,41003,247,2,1
260,53,372445,2132588,1,1841874,27031,3,32735,317,2,1
261,62,372445,2900862,1,2493522,643,3,2623,6,2,1
262,58,372445,1510668,1,1313492,9331,3,13245,247,2,1
263,87,372445,3839400,1,3299482,9336,3,37410,259,2,1
264,13,372445,597294,1,530892,9170,3,38063,253,2,1
265,30,372445,1224065,1,1071094,8803,3,28013,247,2,1
266,16,399556,567330,2,504423,30673,3,32638,319,4,1
267,11,399556,11053,1,12489,\N,18,8385,6,4,1
268,18,399556,11050,1,12486,\N,18,8385,6,4,1
269,17,399556,22184,1,23033,\N,12,10989,297,4,1
270,33,399556,22184,1,23033,\N,12,10989,297,4,1
271,37,399556,649132,1,576261,\N,12,18103,54,4,1
272,37,399556,39714,1,38066,129,2,18562,6,4,1
273,13,399556,134691,1,121073,111,2,17284,242,4,1
274,9,399556,582561,2,518101,2421,13,14701,259,4,1
275,86,399556,4097183,1,3516142,\N,18,24894,319,4,1
276,71,399556,1836990,1,1590590,\N,12,10989,203,4,1
277,85,399556,1836990,1,1590590,\N,12,10989,203,4,1
278,62,399556,1836990,1,1590590,\N,12,10989,203,4,1
279,28,399556,648402,1,575608,\N,12,18103,54,4,1
280,80,399556,1836995,1,1590593,\N,12,10989,203,4,1
281,13,399556,46445,1,43506,1234,2,11990,321,4,1
282,72,399556,1837001,1,1590601,\N,12,10989,6,4,1
283,9,399556,567373,1,504466,30673,3,32638,319,4,1
284,83,399556,1836998,1,1590597,\N,12,10989,6,4,1
285,76,399556,1567494,1,1361069,\N,12,10986,6,4,1
286,68,399556,2982063,1,2564629,\N,5,6974,293,4,1
287,34,399556,1399016,1,1220913,\N,18,14681,297,4,1
288,13,399556,736043,1,651055,1261,2,6783,6,4,1
289,70,399556,2032927,1,1757244,38250,17,15120,\N,4,1
290,8,399556,213944,1,192354,\N,12,10986,6,4,1
291,23,399556,1106709,1,971073,9170,3,42368,253,4,1
292,25,399556,171860,1,154175,1234,2,19101,321,4,1
293,7,399556,14993,1,16404,\N,18,1903,1,4,1
294,2,399556,277101,1,249501,\N,18,1519,35,4,1
295,87,399556,3948271,2,3391678,\N,12,10990,289,4,1
296,24,399556,1214600,1,1062814,9265,3,41003,247,4,1
297,35,399556,196069,1,175964,\N,5,10568,296,4,1
298,5,399556,87570,1,80127,27009,3,23042,6,4,1
299,2,399556,196066,1,175963,\N,5,10568,296,4,1
300,28,399556,285723,1,257129,8987,3,20957,247,4,1
301,30,399556,26476,1,26956,\N,12,19264,200,4,1
302,91,399556,4397624,1,3770660,\N,18,62646,247,4,1
303,28,399556,1060606,1,931148,9265,3,44481,247,4,1
304,30,399556,1321303,1,1155339,8956,3,44978,247,4,1
305,91,399556,4344147,1,3725189,8946,3,62197,247,4,1
306,48,399556,1990074,1,1721484,8593,3,17963,322,4,1
307,76,399556,3233614,1,2782072,\N,18,55910,247,4,1
308,13,399556,786545,1,694545,8703,3,34880,319,4,1
309,22,399556,1043255,1,916321,26858,3,878,60,4,1
310,12,399556,709125,1,627821,\N,5,6974,288,4,1
311,13,399556,709125,1,627821,\N,5,6974,288,4,1
312,79,399556,3747108,1,3223030,\N,18,60464,247,4,1
313,2,399556,102967,1,93595,30673,3,32638,319,4,1
314,46,399556,77602,1,71456,\N,18,1259,21,4,1
315,18,399556,921202,1,811496,8703,3,34880,319,4,1
316,35,399556,1730473,1,1498400,8703,3,34880,319,4,1
317,25,399556,921286,1,811572,8703,3,34880,319,4,1
318,62,399556,2867571,1,2465367,9402,3,13704,247,4,1
319,91,399556,4230267,1,3629081,\N,12,10989,289,4,1
320,18,399556,935963,1,824304,30673,3,32638,319,4,1
321,91,399556,4248264,1,3644536,8946,3,62197,247,4,1
322,11,399556,716522,1,634056,\N,5,32065,288,4,1
323,72,399556,3233491,1,2781980,\N,18,55910,247,4,1
324,13,399556,576621,2,512806,2748,13,2208,247,4,1
325,70,399556,2866874,1,2464771,4889,3,28897,247,4,1
326,11,399556,422153,1,376265,6732,3,29507,247,4,1
327,64,399556,3036606,1,2611358,\N,12,10989,6,4,1
328,25,399556,456166,1,405641,1540,2,21888,255,4,1
329,33,399556,1518935,1,1320639,8904,3,37965,247,4,1
330,4,399556,386018,1,344872,\N,18,38760,322,4,1
331,26,399556,1059228,1,929956,30673,3,32638,319,4,1
332,57,399556,2698153,1,2321256,\N,12,23757,40,4,1
333,24,399556,704914,1,624227,8703,3,34880,319,4,1
334,29,399556,1370430,1,1197515,8703,3,34880,319,4,1
335,18,399556,102979,1,93604,30673,3,32638,319,4,1
336,63,399556,2674699,1,2301619,9382,3,51829,247,4,1
337,9,399556,440752,1,392114,8703,3,34880,319,4,1
338,88,399556,2229264,1,1924226,27031,3,32735,317,4,1
339,19,399556,728215,1,644202,30673,3,32638,319,4,1
340,89,399556,4046571,1,3473490,6193,3,59805,253,4,1
341,16,399556,637674,1,566290,1033,2,957,317,4,1
342,5,399556,45053,1,42265,\N,12,10989,297,4,1
343,2,399556,196074,1,175968,\N,5,10568,296,4,1
344,23,399556,1232733,1,1078415,9272,3,31663,253,4,1
345,16,399556,637774,1,566392,1033,2,957,317,4,1
346,53,399556,2498339,1,2151659,9007,3,53996,248,4,1
347,18,399556,1008833,1,886751,\N,5,18784,107,4,1
348,68,399556,2961195,1,2546014,9228,3,6921,247,4,1
349,48,399556,2111060,1,1823457,\N,12,10989,6,4,1
350,22,399556,625247,1,555216,8703,3,34880,319,4,1
351,23,399556,1166167,1,1021247,9056,3,36142,247,4,1
352,13,399556,771287,1,681371,111,2,23663,242,4,1
353,86,399556,2131736,1,1841194,27031,3,32735,317,4,1
354,18,399556,754476,1,666968,9272,3,31663,247,4,1
355,24,399556,1151660,1,1008896,\N,5,14906,297,4,1
356,6,399556,406803,1,363108,\N,18,39111,319,4,1
357,50,399556,2379479,1,2051412,\N,5,15650,232,4,1
358,16,399556,123018,1,110859,8703,3,26777,319,4,1
359,60,399556,2832894,1,2435502,\N,18,47819,322,4,1
360,69,399556,3167803,1,2725586,\N,18,55910,247,4,1
361,16,399556,637346,1,566000,1033,2,957,317,4,1
362,16,399556,637781,1,566394,1033,2,957,317,4,1
363,21,399556,1047190,1,919607,27031,3,32735,317,4,1
364,75,399556,3616669,1,3113657,2108,3,51198,247,4,1
365,70,399556,3349509,1,2882063,9305,3,54852,248,4,1
366,45,399556,2097460,1,1811770,9389,3,8861,247,4,1
367,11,399556,652360,1,579264,9065,3,25492,247,4,1
368,17,399556,888281,1,782919,26858,3,31963,60,4,1
369,56,399556,2625586,1,2259970,8964,3,8065,248,4,1
370,4,399556,330388,1,296922,27031,3,1835,317,4,1
371,22,399556,1163196,1,1018668,9164,3,6142,247,4,1
372,39,399556,1578089,1,1369975,\N,5,14953,107,4,1
373,53,399556,2501796,1,2154582,\N,12,10986,6,4,1
374,59,399556,2796936,1,2404411,32379,5,9694,292,4,1
375,8,399556,545679,1,485432,30673,3,32638,319,4,1
376,10,429834,567330,1,504423,30673,3,32638,319,2,1
377,3,429834,333302,1,299395,27031,3,1835,317,2,1
378,12,429834,120916,1,109060,\N,18,27801,25,2,1
379,24,429834,57319,1,53277,8777,3,14374,247,2,1
380,45,429834,1990074,1,1721484,8593,3,17963,322,2,1
381,37,429834,111747,1,101132,9045,3,23641,247,2,1
382,29,429834,111747,1,101132,9045,3,23641,247,2,1
383,4,429834,313410,1,281421,9170,3,38063,253,2,1
384,2,429834,156375,1,140192,1064,2,32435,242,2,1
385,16,429834,214844,1,193130,\N,18,30468,322,2,1
386,14,429834,704841,1,624161,8703,3,34880,319,2,1
387,6,429834,113149,1,102350,8518,3,31462,21,2,1
388,27,429834,1442062,1,1256916,9126,3,46239,247,2,1
389,6,429834,411388,2,367248,9065,3,21157,252,2,1
390,27,429834,473026,2,420818,8777,3,10534,247,2,1
391,90,429834,4356018,1,3735257,1033,2,957,317,2,1
392,25,429834,79317,1,72933,29695,3,1714,259,2,1
393,13,429834,780863,1,689694,30819,3,895,257,2,1
394,32,429834,1355975,1,1184979,31844,3,32717,321,2,1
395,3,429834,179955,1,161414,\N,18,38761,322,2,1
396,18,429834,467819,1,415785,9079,3,37410,256,2,1
397,8,429834,524924,2,466911,8873,3,24490,247,2,1
398,8,429834,555140,1,493907,8144,3,23675,255,2,1
399,6,429834,494636,1,440338,29703,3,25441,254,2,1
400,20,429834,1046410,1,918940,8777,3,14375,247,2,1
401,23,429834,981866,1,863610,9126,3,43631,247,2,1
402,6,429834,18139,1,19344,8800,3,17759,247,2,1
403,27,429834,1040167,2,913644,9259,3,24490,247,2,1
404,16,429834,582342,1,517921,8873,3,9732,247,2,1
405,27,429834,17210,1,18524,6899,3,21320,247,2,1
406,28,429834,1229241,1,1075579,9265,3,41003,248,2,1
407,23,429834,1113684,1,976991,9256,3,30019,247,2,1
408,25,429834,1205811,1,1055345,9126,3,43631,247,2,1
409,23,429834,1068594,2,938014,8907,3,36800,247,2,1
410,28,429834,1350039,1,1179909,9189,3,13083,248,2,1
411,72,429834,3469323,1,2987460,\N,5,52470,296,2,1
412,28,429834,1442428,1,1257249,9176,3,20902,248,2,1
413,3,429834,247814,1,222829,8856,3,25186,248,2,1
414,27,429834,549796,1,489073,9225,3,37022,247,2,1
415,8,429834,490997,1,437221,9067,3,26833,247,2,1
416,6,429834,499558,1,444738,8907,3,22979,247,2,1
417,10,429834,573817,1,510303,8758,3,29548,247,2,1
418,11,429834,388700,1,347190,9033,3,30491,322,2,1
419,29,429834,1248016,1,1091709,9176,3,24617,248,2,1
420,4,429834,356248,2,319597,9065,3,21157,247,2,1
421,26,429834,1373466,1,1200137,9293,3,10879,247,2,1
422,29,429834,1442526,2,1257343,9176,3,20902,248,2,1
423,10,458264,567330,1,504423,30673,3,32638,319,3,1
424,64,458264,1503096,1,1307003,35106,4,2879,\N,3,1
425,79,458264,11050,1,12486,\N,18,8385,6,3,1
426,77,458264,11050,1,12486,\N,18,8385,6,3,1
427,85,458264,4097183,1,3516142,\N,18,24894,319,3,1
428,4,458264,333302,1,299395,27031,3,1835,317,3,1
429,77,458264,3662353,1,3152273,11649,8,28129,215,3,1
430,7,458264,383518,1,342621,\N,18,30907,322,3,1
431,11,458264,55692,1,51816,26858,3,29869,60,3,1
432,77,458264,2900700,1,2493386,26858,3,2092,60,3,1
433,25,458264,1247170,1,1090934,\N,18,37647,322,3,1
434,50,458264,109157,1,98915,\N,5,7809,109,3,1
435,79,458264,928362,2,817633,26858,3,878,58,3,1
436,91,458264,2204688,1,1903126,\N,18,12238,158,3,1
437,78,458264,3508781,1,3021920,\N,18,14682,6,3,1
438,2,458264,320296,1,287860,\N,18,37644,322,3,1
439,64,458264,1851419,1,1602916,8777,3,14374,247,3,1
440,54,458264,2561037,1,2205016,9410,3,35987,247,3,1
441,33,458264,1671257,1,1448309,8703,3,34880,319,3,1
442,44,458264,1990074,1,1721484,8593,3,17963,322,3,1
443,32,458264,119958,1,108210,8997,3,18165,247,3,1
444,11,458264,119958,1,108210,8997,3,18165,247,3,1
445,76,458264,2293794,1,1978813,\N,18,14682,6,3,1
446,14,458264,514664,1,457798,8703,3,34880,319,3,1
447,25,458264,1212312,1,1060886,\N,18,37661,322,3,1
448,6,458264,182233,1,163404,27031,3,32508,318,3,1
449,18,458264,472386,2,420154,\N,18,38761,322,3,1
450,83,458264,712165,1,630315,26858,3,23,60,3,1
451,6,458264,442978,1,393886,27031,3,32735,318,3,1
452,32,458264,1489003,1,1295456,30673,3,32638,319,3,1
453,12,458264,728797,1,644712,8997,3,18165,247,3,1
454,73,458264,3524571,1,3035731,27031,3,42171,317,3,1
455,78,458264,2919500,1,2509939,9410,3,10477,247,3,1
456,82,458264,3507812,1,3021149,\N,18,14681,6,3,1
457,28,458264,717729,1,635135,\N,18,19857,200,3,1
458,44,458264,1047275,1,919670,27031,3,32735,317,3,1
459,76,458264,3348399,1,2881045,\N,18,14681,232,3,1
460,79,458264,3688943,1,3174390,26858,3,2092,60,3,1
461,78,458264,3002337,1,2582273,9349,3,21079,247,3,1
462,14,458264,805661,1,711001,675,3,19639,259,3,1
